chembl_id	pref_name	canonical_smiles	standard_inchi	standard_inchi_key	max_phase	indication_class	withdrawn_flag	black_box_warning	drugind_id	max_phase_for_ind	mesh_id	mesh_heading	ref_type	ref_id	ref_url
CHEMBL376488	BEDAQUILINE	COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12	InChI=1S/C32H31BrN2O2/c1-35(2)19-18-32(36,28-15-9-13-22-10-7-8-14-26(22)28)30(23-11-5-4-6-12-23)27-21-24-20-25(33)16-17-29(24)34-31(27)37-3/h4-17,20-21,30,36H,18-19H2,1-3H3/t30-,32-/m1/s1	QUIJNHUBAXPXFS-XLJNKUFUSA-N	4.0		0	1	56231	2.0	D007918	Leprosy	ClinicalTrials	NCT03384641,NCT05406479	https://clinicaltrials.gov/ct2/results?id=%22NCT03384641%22OR%22NCT05406479%22
CHEMBL374478	RIFAMPIN	CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C	InChI=1S/C43H58N4O12/c1-21-12-11-13-22(2)42(55)45-33-28(20-44-47-17-15-46(9)16-18-47)37(52)30-31(38(33)53)36(51)26(6)40-32(30)41(54)43(8,59-40)57-19-14-29(56-10)23(3)39(58-27(7)48)25(5)35(50)24(4)34(21)49/h11-14,19-21,23-25,29,34-35,39,49-53H,15-18H2,1-10H3,(H,45,55)/b12-11+,19-14+,22-13-,44-20+/t21-,23+,24+,25+,29-,34-,35+,39+,43-/m0/s1	JQXXHWHPUNPDRT-WLSIYKJHSA-N	4.0	Antibacterial	0	0	56761	2.0	D009855	Onchocerciasis	ClinicalTrials	NCT00127504	https://clinicaltrials.gov/ct2/results?id=%22NCT00127504%22
CHEMBL64391	ITRACONAZOLE	CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O	InChI=1S/C35H38Cl2N8O4/c1-3-25(2)45-34(46)44(24-40-45)29-7-5-27(6-8-29)41-14-16-42(17-15-41)28-9-11-30(12-10-28)47-19-31-20-48-35(49-31,21-43-23-38-22-39-43)32-13-4-26(36)18-33(32)37/h4-13,18,22-25,31H,3,14-17,19-21H2,1-2H3	VHVPQPYKVGDNFY-UHFFFAOYSA-N	4.0		0	1	56932	2.0	D008271	Mycetoma	ClinicalTrials	NCT03086226	https://clinicaltrials.gov/ct2/results?id=%22NCT03086226%22
CHEMBL1200633	IVERMECTIN	CC[C@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2.CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(CC[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@]54O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O	InChI=1S/C48H74O14.C47H72O14/c1-11-25(2)43-28(5)17-18-47(62-43)23-34-20-33(61-47)16-15-27(4)42(26(3)13-12-14-32-24-55-45-40(49)29(6)19-35(46(51)58-34)48(32,45)52)59-39-22-37(54-10)44(31(8)57-39)60-38-21-36(53-9)41(50)30(7)56-38;1-24(2)41-27(5)16-17-46(61-41)22-33-19-32(60-46)15-14-26(4)42(25(3)12-11-13-31-23-54-44-39(48)28(6)18-34(45(50)57-33)47(31,44)51)58-38-21-36(53-10)43(30(8)56-38)59-37-20-35(52-9)40(49)29(7)55-37/h12-15,19,25-26,28,30-31,33-45,49-50,52H,11,16-18,20-24H2,1-10H3;11-14,18,24-25,27,29-30,32-44,48-49,51H,15-17,19-23H2,1-10H3/b13-12+,27-15+,32-14+;12-11+,26-14+,31-13+/t25-,26-,28-,30-,31-,33+,34-,35-,36-,37-,38-,39-,40+,41-,42-,43+,44-,45+,47+,48+;25-,27-,29-,30-,32+,33-,34-,35-,36-,37-,38-,39+,40-,41+,42-,43-,44+,46+,47+/m00/s1	SPBDXSGPUHCETR-JFUDTMANSA-N	4.0	Antiparasitic	0	0	57460	2.0	D003715	Dengue	ClinicalTrials	NCT02045069	https://clinicaltrials.gov/ct2/results?id=%22NCT02045069%22
CHEMBL1200633	IVERMECTIN	CC[C@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2.CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(CC[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@]54O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O	InChI=1S/C48H74O14.C47H72O14/c1-11-25(2)43-28(5)17-18-47(62-43)23-34-20-33(61-47)16-15-27(4)42(26(3)13-12-14-32-24-55-45-40(49)29(6)19-35(46(51)58-34)48(32,45)52)59-39-22-37(54-10)44(31(8)57-39)60-38-21-36(53-9)41(50)30(7)56-38;1-24(2)41-27(5)16-17-46(61-41)22-33-19-32(60-46)15-14-26(4)42(25(3)12-11-13-31-23-54-44-39(48)28(6)18-34(45(50)57-33)47(31,44)51)58-38-21-36(53-10)43(30(8)56-38)59-37-20-35(52-9)40(49)29(7)55-37/h12-15,19,25-26,28,30-31,33-45,49-50,52H,11,16-18,20-24H2,1-10H3;11-14,18,24-25,27,29-30,32-44,48-49,51H,15-17,19-23H2,1-10H3/b13-12+,27-15+,32-14+;12-11+,26-14+,31-13+/t25-,26-,28-,30-,31-,33+,34-,35-,36-,37-,38-,39-,40+,41-,42-,43+,44-,45+,47+,48+;25-,27-,29-,30-,32+,33-,34-,35-,36-,37-,38-,39+,40-,41+,42-,43-,44+,46+,47+/m00/s1	SPBDXSGPUHCETR-JFUDTMANSA-N	4.0	Antiparasitic	0	0	57461	3.0	D004605	Elephantiasis, Filarial	ClinicalTrials	NCT00339417,NCT01975441,NCT04410406	https://clinicaltrials.gov/ct2/results?id=%22NCT00339417%22OR%22NCT01975441%22OR%22NCT04410406%22
CHEMBL1200633	IVERMECTIN	CC[C@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2.CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(CC[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@]54O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O	InChI=1S/C48H74O14.C47H72O14/c1-11-25(2)43-28(5)17-18-47(62-43)23-34-20-33(61-47)16-15-27(4)42(26(3)13-12-14-32-24-55-45-40(49)29(6)19-35(46(51)58-34)48(32,45)52)59-39-22-37(54-10)44(31(8)57-39)60-38-21-36(53-9)41(50)30(7)56-38;1-24(2)41-27(5)16-17-46(61-41)22-33-19-32(60-46)15-14-26(4)42(25(3)12-11-13-31-23-54-44-39(48)28(6)18-34(45(50)57-33)47(31,44)51)58-38-21-36(53-10)43(30(8)56-38)59-37-20-35(52-9)40(49)29(7)55-37/h12-15,19,25-26,28,30-31,33-45,49-50,52H,11,16-18,20-24H2,1-10H3;11-14,18,24-25,27,29-30,32-44,48-49,51H,15-17,19-23H2,1-10H3/b13-12+,27-15+,32-14+;12-11+,26-14+,31-13+/t25-,26-,28-,30-,31-,33+,34-,35-,36-,37-,38-,39-,40+,41-,42-,43+,44-,45+,47+,48+;25-,27-,29-,30-,32+,33-,34-,35-,36-,37-,38-,39+,40-,41+,42-,43-,44+,46+,47+/m00/s1	SPBDXSGPUHCETR-JFUDTMANSA-N	4.0	Antiparasitic	0	0	57462	4.0	D009855	Onchocerciasis	ClinicalTrials	NCT00300768,NCT00790998,NCT03238131,NCT03876262,NCT04311671,NCT04913610,NCT05180461	https://clinicaltrials.gov/ct2/results?id=%22NCT00300768%22OR%22NCT00790998%22OR%22NCT03238131%22OR%22NCT03876262%22OR%22NCT04311671%22OR%22NCT04913610%22OR%22NCT05180461%22
CHEMBL1200633	IVERMECTIN	CC[C@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2.CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(CC[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@]54O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O	InChI=1S/C48H74O14.C47H72O14/c1-11-25(2)43-28(5)17-18-47(62-43)23-34-20-33(61-47)16-15-27(4)42(26(3)13-12-14-32-24-55-45-40(49)29(6)19-35(46(51)58-34)48(32,45)52)59-39-22-37(54-10)44(31(8)57-39)60-38-21-36(53-9)41(50)30(7)56-38;1-24(2)41-27(5)16-17-46(61-41)22-33-19-32(60-46)15-14-26(4)42(25(3)12-11-13-31-23-54-44-39(48)28(6)18-34(45(50)57-33)47(31,44)51)58-38-21-36(53-10)43(30(8)56-38)59-37-20-35(52-9)40(49)29(7)55-37/h12-15,19,25-26,28,30-31,33-45,49-50,52H,11,16-18,20-24H2,1-10H3;11-14,18,24-25,27,29-30,32-44,48-49,51H,15-17,19-23H2,1-10H3/b13-12+,27-15+,32-14+;12-11+,26-14+,31-13+/t25-,26-,28-,30-,31-,33+,34-,35-,36-,37-,38-,39-,40+,41-,42-,43+,44-,45+,47+,48+;25-,27-,29-,30-,32+,33-,34-,35-,36-,37-,38-,39+,40-,41+,42-,43-,44+,46+,47+/m00/s1	SPBDXSGPUHCETR-JFUDTMANSA-N	4.0	Antiparasitic	0	0	57463	4.0	D013322	Strongyloidiasis	ClinicalTrials	NCT00765024,NCT01570504,NCT03605758,NCT04056325,NCT04848688	https://clinicaltrials.gov/ct2/results?id=%22NCT00765024%22OR%22NCT01570504%22OR%22NCT03605758%22OR%22NCT04056325%22OR%22NCT04848688%22
CHEMBL529	AZITHROMYCIN	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O	InChI=1S/C38H72N2O12/c1-15-27-38(10,46)31(42)24(6)40(13)19-20(2)17-36(8,45)33(52-35-29(41)26(39(11)12)16-21(3)48-35)22(4)30(23(5)34(44)50-27)51-28-18-37(9,47-14)32(43)25(7)49-28/h20-33,35,41-43,45-46H,15-19H2,1-14H3/t20-,21-,22+,23-,24-,25+,26+,27-,28+,29-,30+,31-,32+,33-,35+,36-,37-,38-/m1/s1	MQTOSJVFKKJCRP-BICOPXKESA-N	4.0	Antibacterial	0	0	58001	2.0	D009855	Onchocerciasis	ClinicalTrials	NCT00127504	https://clinicaltrials.gov/ct2/results?id=%22NCT00127504%22
CHEMBL529	AZITHROMYCIN	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O	InChI=1S/C38H72N2O12/c1-15-27-38(10,46)31(42)24(6)40(13)19-20(2)17-36(8,45)33(52-35-29(41)26(39(11)12)16-21(3)48-35)22(4)30(23(5)34(44)50-27)51-28-18-37(9,47-14)32(43)25(7)49-28/h20-33,35,41-43,45-46H,15-19H2,1-14H3/t20-,21-,22+,23-,24-,25+,26+,27-,28+,29-,30+,31-,32+,33-,35+,36-,37-,38-/m1/s1	MQTOSJVFKKJCRP-BICOPXKESA-N	4.0	Antibacterial	0	0	58005	3.0	D015001	Yaws	ClinicalTrials	NCT01382004,NCT01955252,NCT02344628	https://clinicaltrials.gov/ct2/results?id=%22NCT01382004%22OR%22NCT01955252%22OR%22NCT02344628%22
CHEMBL20	ACETAZOLAMIDE	CC(=O)Nc1nnc(S(N)(=O)=O)s1	InChI=1S/C4H6N4O3S2/c1-2(9)6-3-7-8-4(12-3)13(5,10)11/h1H3,(H2,5,10,11)(H,6,7,9)	BZKPWHYZMXOIDC-UHFFFAOYSA-N	4.0	Carbonic Anhydrase Inhibitor	0	1	58516	2.0	D003551	Cysticercosis	ClinicalTrials	NCT02945527	https://clinicaltrials.gov/ct2/results?id=%22NCT02945527%22
CHEMBL1483	ALBENDAZOLE	CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1	InChI=1S/C12H15N3O2S/c1-3-6-18-8-4-5-9-10(7-8)14-11(13-9)15-12(16)17-2/h4-5,7H,3,6H2,1-2H3,(H2,13,14,15,16)	HXHWSAZORRCQMX-UHFFFAOYSA-N	4.0	Anthelmintic	0	0	58565	3.0	D003551	Cysticercosis	ClinicalTrials	NCT00133458,NCT00283699,NCT00290823,NCT02243644,NCT02947581	https://clinicaltrials.gov/ct2/results?id=%22NCT00133458%22OR%22NCT00283699%22OR%22NCT00290823%22OR%22NCT02243644%22OR%22NCT02947581%22
CHEMBL1483	ALBENDAZOLE	CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1	InChI=1S/C12H15N3O2S/c1-3-6-18-8-4-5-9-10(7-8)14-11(13-9)15-12(16)17-2/h4-5,7H,3,6H2,1-2H3,(H2,13,14,15,16)	HXHWSAZORRCQMX-UHFFFAOYSA-N	4.0	Anthelmintic	0	0	58566	3.0	D004605	Elephantiasis, Filarial	ClinicalTrials	NCT00339417,NCT00511004,NCT01975441,NCT04410406	https://clinicaltrials.gov/ct2/results?id=%22NCT00339417%22OR%22NCT00511004%22OR%22NCT01975441%22OR%22NCT04410406%22
CHEMBL1483	ALBENDAZOLE	CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1	InChI=1S/C12H15N3O2S/c1-3-6-18-8-4-5-9-10(7-8)14-11(13-9)15-12(16)17-2/h4-5,7H,3,6H2,1-2H3,(H2,13,14,15,16)	HXHWSAZORRCQMX-UHFFFAOYSA-N	4.0	Anthelmintic	0	0	58568	3.0	D009855	Onchocerciasis	ClinicalTrials	NCT03238131,NCT04913610	https://clinicaltrials.gov/ct2/results?id=%22NCT03238131%22OR%22NCT04913610%22
CHEMBL1483	ALBENDAZOLE	CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1	InChI=1S/C12H15N3O2S/c1-3-6-18-8-4-5-9-10(7-8)14-11(13-9)15-12(16)17-2/h4-5,7H,3,6H2,1-2H3,(H2,13,14,15,16)	HXHWSAZORRCQMX-UHFFFAOYSA-N	4.0	Anthelmintic	0	0	58569	3.0	D013322	Strongyloidiasis	ClinicalTrials	NCT00765024	https://clinicaltrials.gov/ct2/results?id=%22NCT00765024%22
CHEMBL384467	DEXAMETHASONE	C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO	InChI=1S/C22H29FO5/c1-12-8-16-15-5-4-13-9-14(25)6-7-19(13,2)21(15,23)17(26)10-20(16,3)22(12,28)18(27)11-24/h6-7,9,12,15-17,24,26,28H,4-5,8,10-11H2,1-3H3/t12-,15+,16+,17+,19+,20+,21+,22+/m1/s1	UREBDLICKHMUKA-CXSFZGCWSA-N	4.0	Glucocorticoid	0	0	59599	3.0	D003551	Cysticercosis	ClinicalTrials	NCT00290823,NCT02945527	https://clinicaltrials.gov/ct2/results?id=%22NCT00290823%22OR%22NCT02945527%22
CHEMBL1282	IMIQUIMOD	CC(C)Cn1cnc2c(N)nc3ccccc3c21	InChI=1S/C14H16N4/c1-9(2)7-18-8-16-12-13(18)10-5-3-4-6-11(10)17-14(12)15/h3-6,8-9H,7H2,1-2H3,(H2,15,17)	DOUYETYNHWVLEO-UHFFFAOYSA-N	4.0	Immunomodulator	0	1	60112	3.0	D016773	Leishmaniasis, Cutaneous	ClinicalTrials	NCT00257530,NCT01380314	https://clinicaltrials.gov/ct2/results?id=%22NCT00257530%22OR%22NCT01380314%22
CHEMBL36	PYRIMETHAMINE	CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1	InChI=1S/C12H13ClN4/c1-2-9-10(11(14)17-12(15)16-9)7-3-5-8(13)6-4-7/h3-6H,2H2,1H3,(H4,14,15,16,17)	WKSAUQYGYAYLPV-UHFFFAOYSA-N	4.0	Antimalarial	0	0	61686	3.0	D012552	Schistosomiasis	ClinicalTrials	NCT01054651	https://clinicaltrials.gov/ct2/results?id=%22NCT01054651%22
CHEMBL290960	NIFURTIMOX	CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1	InChI=1S/C10H13N3O5S/c1-8-7-19(16,17)5-4-12(8)11-6-9-2-3-10(18-9)13(14)15/h2-3,6,8H,4-5,7H2,1H3/b11-6+	ARFHIAQFJWUCFH-IZZDOVSWSA-N	4.0		0	0	63324	2.0	D014353	Trypanosomiasis, African	ClinicalTrials	NCT01685827	https://clinicaltrials.gov/ct2/results?id=%22NCT01685827%22
