calibr_id	rfm_id	smile	canonical_ikey	name	source	source_id	status	reframedb_url	tanimoto_miltefosine	tanimoto_streptomycin
CBR-001-210-403-9		COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1	STQGQHZAVUOBTE	Daunorubicin hydrochloride	Santa Cruz	sc-200921	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/STQGQHZAVUOBTE;qid=Q27166572"")"	0.07732293697205977	0.45390070921985815
CBR-050-073-723-5		O=C(O)Cc1ccccc1	WLJVXDMOQOGPHL	Sodium phenylacetate	TSRI synthesis	Jin Quan:NN17	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/WLJVXDMOQOGPHL;qid=Q82314538"")"	0.07168458781362007	0.059672762271414825
CBR-001-571-700-7	RFM-000-685-9	CCCCCCc1ccc(O)cc1O	WFJIVOKAWHGMBH	HEXYLRESORCINOL	Oxchem	AX8018168	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/WFJIVOKAWHGMBH;qid=Q229969"")"	0.07253886010362694	0.10545454545454545
CBR-050-265-483-3	RFM-000-731-8;RFM-006-106-3	CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1	RZJQGNCSTQAWON	ROFECOXIB162011-90-7	Sigma-Aldrich	SML0613	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/RZJQGNCSTQAWON;qid=Q82298666"")"	0.08502024291497975	0.2353846153846154
CBR-001-858-267-7	RFM-009-224-0	COc1ccc(-c2nc(N3CCOCC3)c3sc(CN(C)c4ncc(C(=O)NO)cn4)cc3n2)cn1	JOWXJLIFIIOYMS	CUDC-907	Jubilant Chemsys	G0004-011652	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/JOWXJLIFIIOYMS;qid=Q27076926"")"	0.09117865085248332	0.36576576576576575
CBR-001-572-879-7	RFM-001-809-7	CN(CCCl)CCCl	HAWPXGHAZFHHAD	Chlormethine hydrochloride	Ark Pharm, Inc	AK-51730	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/HAWPXGHAZFHHAD;qid=Q418011"")"	0.07425742574257425	0.023092369477911646
CBR-001-573-554-3	RFM-002-352-9	COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2	ASUTZQLVASHGKV	Galanthamine	AvaChem Scientific	1543B	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/ASUTZQLVASHGKV;qid=Q27286219"")"	0.08923512747875353	0.40119760479041916
CBR-001-571-288-6	RFM-000-306-5	O=S(=O)(O)CCS	ZNEWHQLOPFWXOF		Enamine	EN300-49858	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/ZNEWHQLOPFWXOF;qid=Q579229"")"	0.026905829596412557	0.02180376610505451
CBR-001-572-749-8	RFM-001-679-5	CN(C)C1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)nc(N5CCOCC5)n4)cc3)cc2)CC1	DWZAEMINVBZMHQ	gedatolisib	Key Organics	FE-0013	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/DWZAEMINVBZMHQ;qid=Q27077788"")"	0.09967845659163987	0.3170028818443804
CBR-001-585-029-0	RFM-004-609-3	C=C[C@@](C)(/C=C/c1ccc(O)cc1)CCC=C(C)C	LFYJSSARVMHQJB	Drupanol	MedChem Express	HY-N0235	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/LFYJSSARVMHQJB;qid=Q105151218"")"	0.07125307125307126	0.11230907457322552
CBR-001-571-181-6	RFM-000-206-2	CNC(=O)Oc1cccc2ccccc12	CVXBEEMKQHEXEN	CARBARIL	Enamine	EN300-06105	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/CVXBEEMKQHEXEN;qid=Q83056902"")"	0.07360406091370558	0.1085972850678733
CBR-050-270-265-0	RFM-004-540-9;RFM-014-137-7	O=c1c2ccccc2[se]n1-c1ccccc1	DYEFUKCXAQOFHX	ebselen	AK Scientific	V1941	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/DYEFUKCXAQOFHX;qid=Q5332073"")"	0.07301173402868318	0.22088655146506386
CBR-050-245-175-4	RFM-012-385-3	COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O	VFLDPWHFBUODDF	Curcumin	MedChem Express	HY-N0005	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/VFLDPWHFBUODDF;qid=Q105285406"")"	0.06854838709677419	0.14728682170542637
CBR-001-846-678-9	RFM-004-173-6	CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1	RBTBFTRPCNLSDE	Methylene Blue trihydrate	TCI Europe	A0574	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/RBTBFTRPCNLSDE;qid=Q27097395"")"	0.09081735620585267	0.27661016949152545
CBR-001-846-698-3	RFM-000-181-0	c1ccc2[nH]c(-c3cscn3)nc2c1	WJCNZQLZVWNLKY	THIABENDAZOLE148-79-8	Enamine	EN300-20737	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/WJCNZQLZVWNLKY;qid=Q424986"")"	0.0661764705882353	0.1393239901071723
CBR-001-572-682-6	RFM-001-612-6	CCOc1ccc2nc(S(N)(=O)=O)sc2c1	OUZWUKMCLIBBOG	ETHOXZOLAMIDE	Sigma-Aldrich	333328	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/OUZWUKMCLIBBOG;qid=Q265352"")"	0.09171974522292993	0.23529411764705882
CBR-050-297-650-3	RFM-004-729-0	O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21	YBJHBAHKTGYVGT	BIOTIN	ChemSpace	T1116	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/YBJHBAHKTGYVGT;qid=Q27166494"")"	0.10737179487179487	0.23388429752066114
CBR-000-767-553-8		Cc1ccc(C(=O)N(CCCN)[C@@H](c2nc3cc(Cl)ccc3c(=O)n2Cc2ccccc2)C(C)C)cc1	QJZRFPJCWMNVAV	Ispinesib (SB-715992)	(Kal) PHARMARON	ABP245-038	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/QJZRFPJCWMNVAV;qid=Q27165465"")"	0.09030837004405286	0.379372738238842
CBR-001-574-486-2	RFM-003-282-6	C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1	XRYJULCDUUATMC	CGP-75166	Sigma-Aldrich	SML1095	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/XRYJULCDUUATMC;qid=Q27088404"")"	0.07958115183246073	0.3055555555555556
CBR-001-572-770-5	RFM-001-700-5	COc1ccc(-c2nc3cc(C4=NNC(=O)CC4C)ccc3[nH]2)cc1	GLBJJMFZWDBELO	pimobendan	Key Organics	KS-1280	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/GLBJJMFZWDBELO;qid=Q414351"")"	0.08184679958027283	0.27824267782426776
CBR-050-365-947-0	RFM-000-753-4	O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O	VGEREEWJJVICBM	Phloretin	Sigma-Aldrich	12515850	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/VGEREEWJJVICBM;qid=Q2268463"")"	0.056640625	0.14786324786324787
CBR-050-365-803-5	RFM-001-702-7	CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1	OROAFUQRIXKEMV	4-({2-butyl-5-[(1E)-2-carboxy-3-(2-thienyl)-1-propenyl]-1H-imidazol-1-yl}methyl)benzoic acid; eprosartan mesylate	Sigma-Aldrich	3515237034	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/OROAFUQRIXKEMV;qid=Q27165845"")"	0.08695652173913043	0.32058047493403696
CBR-050-127-022-0	RFM-012-623-8	O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1	PGAVKCOVUIYSFO	URIDINE-5'-TRIPHOSPHATE NA	MedChem Express	HY-107372	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/PGAVKCOVUIYSFO;qid=Q27104565"")"	0.12343470483005367	0.3575197889182058
CBR-050-266-858-8	RFM-009-842-0	C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O	VLSMHEGGTFMBBZ	KAINIC ACID	Sigma-Aldrich	K0250	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/VLSMHEGGTFMBBZ;qid=Q105288659"")"	0.11363636363636363	0.2133220910623946
CBR-050-365-604-0	RFM-000-388-3	Nc1nc2ccc(OC(F)(F)F)cc2s1	FTALBRSUTCGOEG	Riluzole	Sigma-Aldrich	110981782	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/FTALBRSUTCGOEG;qid=Q415744"")"	0.06923076923076923	0.19855884707766214
CBR-001-597-351-0	RFM-002-067-7;RFM-007-174-9	O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1	CEUORZQYGODEFX	ARIPIPRAZOLE	Abblis Chemicals LLC	AB1006698	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/CEUORZQYGODEFX;qid=Q82561590"")"	0.09529276693455797	0.27338651196519215
CBR-050-324-312-7	RFM-003-014-8	N#C/C(=C1/SC[C@@H](c2ccc(Cl)cc2Cl)S1)n1ccnc1	YTAOBBFIOAEMLL	Luliconazole	Sigma-Aldrich	SML 1595-5MG	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/YTAOBBFIOAEMLL;qid=Q27266357"")"	0.09539473684210527	0.2809388335704125
CBR-001-586-297-2	RFM-005-565-2	NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O	HDWIHXWEUNVBIY	Bendrofluazide	Sigma-Aldrich	MFCD00078963	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/HDWIHXWEUNVBIY;qid=Q82695933"")"	0.08851884312007012	0.3170103092783505
CBR-050-297-637-6	RFM-004-742-7	N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O	RWSXRVCMGQZWBV	GLUTATHIONE	ChemSpace	T1085	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/RWSXRVCMGQZWBV;qid=Q27125060"")"	0.09523809523809523	0.17128027681660898
CBR-050-265-704-7	RFM-005-714-7	Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1	MJIHNNLFOKEZEW	Lansoprazole	Sigma-Aldrich	L8533	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/MJIHNNLFOKEZEW;qid=Q82579314"")"	0.07845303867403315	0.27546628407460544
CBR-001-586-020-5	RFM-005-291-5	C[C@]12C=CC(=O)N[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CC[C@@H]12	JWJOTENAMICLJG	dutasteride	Sigma-Aldrich	MFCD09843955	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/JWJOTENAMICLJG;qid=Q424760"")"	0.09336099585062241	0.32476802284082795
CBR-001-583-137-5	RFM-003-674-8	CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO	DJWYOLJPSHDSAL	Pantethine	Combi Blocks	SS-2988	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/DJWYOLJPSHDSAL;qid=Q228762"")"	0.08843537414965986	0.1665150136487716
CBR-050-297-749-3	RFM-001-900-1	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1	FPIPGXGPPPQFEQ	RETINOL	ChemSpace	T1183	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/FPIPGXGPPPQFEQ;qid=Q104999218"")"	0.09466019417475728	0.12175470008952552
CBR-050-266-637-7	RFM-003-597-2	N#Cc1ccc(N2CCN(C(=O)COc3ccc4[nH]cc(CCN)c4c3)CC2)cc1	SOHCKWZVTCTQBG	Donitriptan monohydrochloride	Sigma-Aldrich	D9071	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/SOHCKWZVTCTQBG;qid=Q19597008"")"	0.09887640449438202	0.26062322946175637
CBR-001-586-005-6	RFM-005-276-6	CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O	XUKUURHRXDUEBC	Atorvastatin calcium	Sigma-Aldrich	MFCD00899261	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/XUKUURHRXDUEBC;qid=Q83006198"")"	0.1	0.4121004566210046
CBR-001-583-203-8	RFM-003-728-5	O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1	OZOMQRBLCMDCEG	Dantrolene??Sodium	Enamine	Z91274084	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/OZOMQRBLCMDCEG;qid=Q421274"")"	0.08189158016147635	0.2554112554112554
CBR-050-073-334-6	RFM-012-610-3	O=C(Cn1ccnc1[N+](=O)[O-])NCCO	WCDWBPCFGJXFJZ	ETANIDAZOLE	MedKoo Biosciences	206031	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/WCDWBPCFGJXFJZ;qid=Q5402427"")"	0.09492635024549918	0.19496344435418358
CBR-050-266-937-6	RFM-005-986-9	NC[C@H](O)c1ccc(O)c(O)c1	SFLSHLFXELFNJZ	(-)-Norepinephrine	Sigma-Aldrich	A9512	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/SFLSHLFXELFNJZ;qid=Q27087994"")"	0.0889423076923077	0.13165013525698827
CBR-001-571-588-5	RFM-000-573-2	C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O	SGOIRFVFHAKUTI	Tenofovir (TFV)	Ark Pharm, Inc	AK-33334	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/SGOIRFVFHAKUTI;qid=Q82561542"")"	0.0855106888361045	0.24890829694323144
CBR-050-265-289-3	RFM-005-682-6	CN1C(=O)CC[C@H]1c1cccnc1	UIKROCXWUNQSPJ	(-)-Cotinine	Sigma-Aldrich	C5923	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/UIKROCXWUNQSPJ;qid=Q82340918"")"	0.08409785932721713	0.21170809943865276
CBR-050-266-513-6	RFM-003-295-1	CCN(CC)CCNC(=O)c1ccc(NS(C)(=O)=O)cc1	KHYPYQZQJSBPIX	Sematilide monohydrochloride monohydrate	Sigma-Aldrich	S0323	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/KHYPYQZQJSBPIX;qid=Q7449133"")"	0.0888030888030888	0.15664690939881457
CBR-050-264-381-4	RFM-004-382-3	Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O	HBOMLICNUCNMMY	Zidovudine	Sigma-Aldrich	A2169	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/HBOMLICNUCNMMY;qid=Q27896268"")"	0.0941402497598463	0.35073068893528186
CBR-001-624-827-4	RFM-008-593-8;RFM-008-879-9	OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1	OGAKLTJNUQRZJU	Difenidol hydrochloride	Sigma-Aldrich	MFCD00151479	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/OGAKLTJNUQRZJU;qid=Q5279734"")"	0.12280701754385964	0.1737649063032368
CBR-001-574-313-2	RFM-003-109-4	CC(C)(OCc1nn(Cc2ccccc2)c2ccccc12)C(=O)O	MTHORRSSURHQPZ	Bindarit	Selleck Chemicals	S3032	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/MTHORRSSURHQPZ;qid=Q27281631"")"	0.09292035398230089	0.2668082094833687
CBR-001-586-842-5	RFM-006-105-2	CNCC/C=C/c1cccnc1	JUOSGGQXEBBCJB	RJR 2403 ; Rivanicline; METANICOTINE	Sigma-Aldrich	PH006788	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/JUOSGGQXEBBCJB;qid=Q7336984"")"	0.07848837209302326	0.09014869888475836
CBR-001-844-162-8	RFM-001-958-9	CCc1cc(C(N)=S)ccn1	AEOCXXJPGCBFJA	Ethionamide	AK Scientific	M381	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/AEOCXXJPGCBFJA;qid=Q414767"")"	0.07990314769975787	0.1054030115146147
CBR-001-570-985-0	RFM-000-017-9	O=C(O)c1ccccc1C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1	PBMSWVPMRUJMPE	PHTHALYLSULFATHIAZOLE	TCI Japan	T0703	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/PBMSWVPMRUJMPE;qid=Q4493189"")"	0.08455467869222097	0.2672413793103448
CBR-001-571-205-7	RFM-000-230-2	Cn1c(=O)c2c(ncn2CCO)n(C)c1=O	NWPRCRWQMGIBOT	Etofylline	Enamine	EN300-21180	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/NWPRCRWQMGIBOT;qid=Q3733837"")"	0.08820403825717323	0.2868217054263566
CBR-001-574-645-9	RFM-003-440-2	COc1ccc2c(c1)CCC(c1ccccc1)=C2c1ccc(OCCN2CCCC2)cc1	JEYWNNAZDLFBFF	nafoxidine	Sigma-Aldrich	MFCD00056572	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/JEYWNNAZDLFBFF;qid=Q6958201"")"	0.0883668903803132	0.27697841726618705
CBR-001-574-004-2	RFM-002-802-4	COc1ccccc1N1CCN(CCCC(=O)c2ccc(F)cc2)CC1	IRYFCWPNDIUQOW	Fluanisone	Labotest	LT00071673	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/IRYFCWPNDIUQOW;qid=Q5462605"")"	0.09011627906976744	0.21344800625488664
CBR-001-571-291-1	RFM-000-309-8	Nc1ccc(S(=O)(=O)N([Ag])c2ncccn2)cc1	UEJSSZHHYBHCEL	Silver sulfadiazine	AK Scientific	69422	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/UEJSSZHHYBHCEL;qid=Q420984"")"	0.08031496062992126	0.19135308246597277
CBR-001-584-580-4	RFM-004-160-1	CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1	UPPMZCXMQRVMME	valethamate bromide, Essential	TCI Europe	V0063	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/UPPMZCXMQRVMME;qid=Q27276155"")"	0.11295681063122924	0.22666666666666666
CBR-001-586-567-5	RFM-005-832-2	O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O	HUPFGZXOMWLGNK		Sigma-Aldrich	MFCD00057834	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/HUPFGZXOMWLGNK;qid=Q2602750"")"	0.05736434108527132	0.18435754189944134
CBR-001-574-226-4	RFM-003-022-8	CCC(CC)CC1(C(=O)Nc2ccccc2SC(=O)C(C)C)CCCCC1	YZQLWPMZQVHJED	dalcetrapib	Selleck Chemicals	S2772	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/YZQLWPMZQVHJED;qid=Q5210285"")"	0.07902298850574713	0.2199528672427337
CBR-001-584-983-9	RFM-004-563-6	Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1	PTOAARAWEBMLNO		MedChem Express	HY-13599	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/PTOAARAWEBMLNO;qid=Q27189548"")"	0.0902591599642538	0.33553500660501984
CBR-001-624-572-0	RFM-008-624-8	CN(C)[C@@H]1C(=O)C(C(N)=O)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12	TUEWQXNXQFRUTK	OXYTETRACYCLINE	Sigma-Aldrich	MFCD00151234	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/TUEWQXNXQFRUTK;qid=nan"")"	0.08767123287671233	0.421772754312909
CBR-050-266-618-4	RFM-005-705-6	CNCCCN1c2ccccc2CCc2ccccc21	HCYAFALTSJYZDH	Desipramine	Sigma-Aldrich	D3900	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/HCYAFALTSJYZDH;qid=Q82579103"")"	0.08229813664596274	0.2020850040096231
CBR-001-574-444-2	RFM-003-240-6	CC(=O)SC[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O	FHHHOYXPRDYHEZ	alacepril	Sigma-Aldrich	MFCD00869538	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/FHHHOYXPRDYHEZ;qid=Q3290792"")"	0.10416666666666667	0.27279521674140506
CBR-001-624-618-7	RFM-008-670-4	COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC	CVBMAZKKCSYWQR	Deserpidine	Key Organics	MD-0232	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/CVBMAZKKCSYWQR;qid=Q5263885"")"	0.09523809523809523	0.4331959976456739
CBR-001-573-639-7	RFM-002-437-3	CCCCCC(O)c1cccc(OCc2ccc3ccccc3n2)c1	JRLOEMCOOZSCQP	REV-5901	Cayman Chemical	70600	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/JRLOEMCOOZSCQP;qid=Q27163617"")"	0.10140845070422536	0.22695584817970565
CBR-001-584-813-2	RFM-004-393-6	Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1	ZAFYATHCZYHLPB	ZOLPIDEM TARTRATE	Shanghai iChemical Technology Co., Ltd	I06-0128	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/ZAFYATHCZYHLPB;qid=Q82579588"")"	0.0909952606635071	0.3142664872139973
CBR-001-574-371-2	RFM-003-167-4	O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1	SHZKQBHERIJWAO		Sigma-Aldrich	MFCD06795644	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/SHZKQBHERIJWAO;qid=Q7116436"")"	0.08928571428571429	0.12860892388451445
CBR-050-191-220-5		COc1cc(/C=C/c2ccc(O)cc2)cc(OC)c1	VLEUZFDZJKSGMX		Sigma-Aldrich	MFCD00238710	not plated but available for one-off testing	"=HYPERLINK(""https://reframedb.org//compound_data/VLEUZFDZJKSGMX;qid=Q27277912"")"	0.05623471882640587	0.10178571428571428
CBR-001-572-038-4	RFM-000-970-1	CC(=O)Nc1ncc([N+](=O)[O-])s1	UJRRDDHEMZLWFI	AMINITROZOLE	Sigma-Aldrich	33978	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/UJRRDDHEMZLWFI;qid=Q27272354"")"	0.07835820895522388	0.163575042158516
CBR-001-584-977-1	RFM-004-557-8	O=C1NC(O)CCN1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	UCKYOOZPSJFJIZ	Tetrahydrouridine	Merck Chemicals	584222	plated and available for follow-up	"=HYPERLINK(""https://reframedb.org//compound_data/UCKYOOZPSJFJIZ;qid=Q27237004"")"	0.10175438596491228	0.3508907823392719
